genome,asdf,taxonomy,tax.index,Anthranilate,Salicylate,Benzene,Benzoate (Catechol),Benzoate (Cyclohexane),Benzoyl-CoA,Catechol (Meta),Catechol (Ortho),Cumate,Homoprotocatechuate,Phthalate,Terephtalate,Toluene  ,Trans-cinnamate,Protocatechuate (3-oxoadipate),Protocatechuate (Oxaloacteate + Pyruvate),CAZy: Amorphous Cellulose,CAZy: Arabinan,CAZy: Mixed-Linkage glucans,CAZy: Polyphenolics,CAZy: Xyloglucan,Nitrogen metabolism: Bacterial/Archaeal ammonia oxidation,Nitrogen metabolism: nitrite => nitric oxide,"Other Reductases: arsenate reduction, pt 1",SCFA and alcohol conversions: Alcohol production,"SCFA and alcohol conversions: Propionate, pt 2","SCFA and alcohol conversions: acetate, pt 1 or 2",SCFA and alcohol conversions: lactate L,SCFA and alcohol conversions: pyruvate => acetyl CoA v1 or v2,"Sulfur metabolism: Thiosulfate oxidation by SOX complex, thiosulfate => sulfate"
2653_bin.7_renamed,2653_bin.7_renamed,d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__40CM-4-65-16;s__,17,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2593_bin.2_renamed,2593_bin.2_renamed,d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__40CM-4-65-16;s__,16,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2599_bin.24_renamed,2599_bin.24_renamed,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__,15,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2653_bin.20_renamed,2653_bin.20_renamed,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2649_bin.18_renamed,2649_bin.18_renamed,d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__VAYN01;s__,12,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2653_bin.21_renamed,2653_bin.21_renamed,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__,9,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0
2599_bin.23_renamed,2599_bin.23_renamed,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__,8,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0
2593_bin.7_renamed,2593_bin.7_renamed,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidoferrales;f__UBA7541;g__Palsa-295;s__,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1
2754_bin.24_renamed,2754_bin.24_renamed,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2659_bin.4_renamed,2659_bin.4_renamed,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__UBA10452;s__,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2653_bin.18_renamed,2653_bin.18_renamed,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__UBA10452;s__,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
